County,Excess Mortality
"Logan County, WV",77.5 ( 41.2 - 113.7 )
"Wyoming County, WV",75.9 ( 9.8 - 142 )
"Wayne County, WV",75 ( 3.1 - 146.8 )
"Mercer County, WV",65.2 ( 14.2 - 116.2 )
"Lawrence County, OH",53.2 ( 13.6 - 92.9 )
"Cabell County, WV",53 ( -30.2 - 136.2 )
"Berkeley County, WV",47.5 ( 7.8 - 87.2 )
"Brown County, OH",45.8 ( 5.6 - 86 )
"Raleigh County, WV",40.5 ( -2.9 - 84 )
"Roane County, TN",39.7 ( 15.4 - 64 )
"Allegany County, MD",39.3 ( -2.3 - 80.9 )
"Rio Arriba County, NM",37.2 ( 2 - 72.4 )
"Erie County, OH",35.7 ( 13 - 58.4 )
"Cheatham County, TN",34.6 ( 13 - 56.3 )
"Anderson County, TN",33 ( 9.5 - 56.4 )
"Knox County, TN",32.6 ( 18.3 - 46.9 )
"Roanoke city, VA",32.1 ( 1 - 63.2 )
"Jackson County, MS",32.1 ( 17.7 - 46.5 )
"Monroe County, PA",32 ( 23.9 - 40.1 )
"Highlands County, FL",31.3 ( 19 - 43.5 )
"Harrison County, WV",31.2 ( 18 - 44.4 )
"Lawrence County, PA",30.4 ( -0.2 - 61 )
"Warren County, NJ",30.1 ( 16.3 - 43.9 )
"Rutherford County, NC",28.9 ( 12.2 - 45.5 )
"Putnam County, TN",27.6 ( 14.6 - 40.5 )
"Pike County, PA",27.3 ( 11.4 - 43.3 )
"Lackawanna County, PA",25.9 ( 6.8 - 45.1 )
"St. Joseph County, IN",25.6 ( 14.6 - 36.7 )
"Aiken County, SC",25.5 ( 17.4 - 33.5 )
"Pulaski County, KY",25.3 ( 18.2 - 32.5 )
"Randolph County, NC",24.4 ( 12.5 - 36.3 )
"Kenosha County, WI",24.2 ( 8.6 - 39.9 )
"Volusia County, FL",24 ( 13.4 - 34.6 )
"Richmond County, GA",23.7 ( 7 - 40.4 )
"Ross County, OH",23.6 ( -3.4 - 50.7 )
"Navajo County, AZ",23.5 ( 11.3 - 35.7 )
"Fayette County, KY",23.3 ( 16.1 - 30.4 )
"Orleans Parish, LA",23 ( 13.3 - 32.7 )
"Johnson County, IN",22.9 ( 16.1 - 29.6 )
"Jefferson County, KY",22.8 ( 9 - 36.6 )
"Tangipahoa Parish, LA",22.5 ( 7.1 - 38 )
"Kanawha County, WV",22.5 ( 10.3 - 34.7 )
"Lafayette Parish, LA",22.5 ( 18 - 27 )
"Boone County, WV",22.5 ( -34.4 - 79.3 )
"Walker County, AL",22.4 ( 6.7 - 38.1 )
"Sevier County, TN",22.4 ( -0.2 - 45 )
"Davidson County, NC",22 ( 7.2 - 36.8 )
"Cecil County, MD",22 ( -3.2 - 47.1 )
"Ulster County, NY",21.8 ( 1.8 - 41.7 )
"Fayette County, PA",21.7 ( -13.5 - 56.8 )
"Marion County, FL",21.3 ( -0.7 - 43.2 )
"Penobscot County, ME",21 ( 3.3 - 38.7 )
"Marion County, IN",20.3 ( 14.1 - 26.4 )
"Kenton County, KY",20 ( -8.6 - 48.6 )
"Mason County, WA",19.8 ( 13.6 - 25.9 )
"Florence County, SC",19.7 ( 6.4 - 33 )
"Sarasota County, FL",19.6 ( 9 - 30.2 )
"New Hanover County, NC",19.5 ( 10.5 - 28.5 )
"Cabarrus County, NC",19.5 ( 3.8 - 35.2 )
"Virginia Beach city, VA",19.4 ( 11.3 - 27.5 )
"Floyd County, KY",19.2 ( -27.5 - 65.8 )
"La Porte County, IN",18.9 ( 1.9 - 35.9 )
"Imperial County, CA",18.7 ( 2.7 - 34.8 )
"Nueces County, TX",18.7 ( 9.1 - 28.3 )
"Lewis County, WA",18.6 ( 11.5 - 25.7 )
"Nevada County, CA",18.6 ( 10.3 - 26.8 )
"Mesa County, CO",18.5 ( 1.7 - 35.3 )
"Hawkins County, TN",18.3 ( -2.7 - 39.4 )
"Charleston County, SC",18.1 ( 12.9 - 23.3 )
"Comanche County, OK",18 ( 6.2 - 29.7 )
"Orange County, NY",17.9 ( 6.8 - 29 )
"San Luis Obispo County, CA",17.9 ( 10.9 - 24.9 )
"Shelby County, TN",17.9 ( 6.2 - 29.6 )
"Skagit County, WA",17.8 ( 8.8 - 26.7 )
"Northampton County, PA",17.7 ( 0.7 - 34.8 )
"York County, PA",17.6 ( 4.7 - 30.6 )
"Terrebonne Parish, LA",17.6 ( -8.4 - 43.7 )
"Richmond city, VA",17.6 ( 10.5 - 24.7 )
"Jefferson Parish, LA",17.5 ( 6.7 - 28.3 )
"Miami County, OH",17.5 ( -8.3 - 43.2 )
"Howard County, IN",17.1 ( 2.9 - 31.2 )
"Seminole County, FL",17 ( 9.9 - 24.1 )
"Campbell County, KY",16.8 ( -23 - 56.6 )
"St. Louis city, MO",16.7 ( -9.5 - 43 )
"Scioto County, OH",16.7 ( -5.5 - 38.8 )
"Garland County, AR",16.5 ( 6.7 - 26.3 )
"Kennebec County, ME",16.3 ( -2.3 - 35 )
"Cumberland County, NC",16.3 ( 4.7 - 27.9 )
"Anderson County, SC",16.2 ( 12.1 - 20.3 )
"Grant County, IN",15.9 ( -3.9 - 35.7 )
"Clark County, IN",15.8 ( 1.6 - 30 )
"East Baton Rouge Parish, LA",15.8 ( 9.7 - 21.9 )
"Franklin County, OH",15.7 ( 9.4 - 21.9 )
"Lee County, FL",15.6 ( 5 - 26.3 )
"Livingston Parish, LA",15.5 ( -2.4 - 33.5 )
"Baldwin County, AL",15.5 ( 6.5 - 24.5 )
"McHenry County, IL",15.5 ( -0.4 - 31.3 )
"Whatcom County, WA",15.4 ( 10.8 - 20 )
"Armstrong County, PA",15.3 ( -17.9 - 48.4 )
"Denver County, CO",15.2 ( 10.2 - 20.2 )
"Sullivan County, TN",15 ( -6.6 - 36.6 )
"Orange County, TX",14.9 ( -0.5 - 30.2 )
"Durham County, NC",14.8 ( 7.9 - 21.6 )
"Lehigh County, PA",14.7 ( 5.4 - 23.9 )
"Escambia County, FL",14.6 ( 3.1 - 26.1 )
"Blount County, TN",14.6 ( -0.1 - 29.3 )
"Calhoun County, MI",14.4 ( -2.1 - 30.9 )
"Hardin County, KY",14.3 ( 4.1 - 24.6 )
"San Bernardino County, CA",14.3 ( 7.9 - 20.7 )
"Medina County, OH",14.2 ( 5.3 - 23.2 )
"Pueblo County, CO",14.1 ( 3.5 - 24.6 )
"Fairfield County, OH",14.1 ( -2.4 - 30.5 )
"Bradley County, TN",14 ( 4.1 - 23.9 )
"Cumberland County, PA",13.9 ( -2.9 - 30.6 )
"St. Bernard Parish, LA",13.7 ( -42.5 - 69.9 )
"Burke County, NC",13.7 ( -6 - 33.4 )
"Broome County, NY",13.6 ( -4.8 - 32 )
"Erie County, NY",13.6 ( -0.7 - 27.9 )
"Monroe County, MI",13.6 ( -4.4 - 31.5 )
"Hillsborough County, FL",13.6 ( 9.6 - 17.6 )
"Genesee County, MI",13.5 ( -9.8 - 36.9 )
"DeSoto County, MS",13.5 ( 8.8 - 18.2 )
"Monroe County, IN",13.5 ( 7.1 - 19.9 )
"Hendricks County, IN",13.5 ( 3 - 23.9 )
"Bullitt County, KY",13.4 ( -18.6 - 45.4 )
"Calcasieu Parish, LA",13.4 ( 8.6 - 18.2 )
"Santa Rosa County, FL",13.3 ( 6.9 - 19.7 )
"Macomb County, MI",13.3 ( -2.9 - 29.4 )
"Blair County, PA",13.1 ( -11.1 - 37.4 )
"Rankin County, MS",13.1 ( -1.1 - 27.3 )
"Dutchess County, NY",13 ( -1 - 27.1 )
"Baltimore County, MD",13 ( -1.4 - 27.4 )
"Bartow County, GA",12.9 ( 4.2 - 21.5 )
"Cambria County, PA",12.7 ( -31.8 - 57.3 )
"Rowan County, NC",12.6 ( -10.3 - 35.5 )
"Waukesha County, WI",12.5 ( 7 - 18 )
"Paulding County, GA",12.5 ( -0.5 - 25.6 )
"Hancock County, IN",12.5 ( -0.5 - 25.6 )
"Bay County, MI",12.5 ( -4.7 - 29.7 )
"Brunswick County, NC",12.4 ( -4.6 - 29.5 )
"Clark County, WA",12.4 ( 7.7 - 17.1 )
"Mahoning County, OH",12.2 ( -1.5 - 26 )
"Sumner County, TN",12.2 ( 4.7 - 19.6 )
"Horry County, SC",12.1 ( -11.8 - 36.1 )
"Niagara County, NY",11.9 ( 3.7 - 20 )
"Saginaw County, MI",11.8 ( 4.9 - 18.8 )
"Carteret County, NC",11.8 ( -0.4 - 24 )
"Winnebago County, WI",11.6 ( 4 - 19.3 )
"Lafourche Parish, LA",11.5 ( 1.1 - 21.9 )
"Racine County, WI",11.5 ( -4.4 - 27.4 )
"Chesapeake city, VA",11.4 ( 3.6 - 19.1 )
"Spartanburg County, SC",11.3 ( -0.5 - 23 )
"Madison County, KY",11.3 ( -8.4 - 30.9 )
"Pierce County, WA",11.3 ( 8.3 - 14.2 )
"Suffolk County, NY",11.2 ( 0.6 - 21.8 )
"Yakima County, WA",11.2 ( 3.9 - 18.5 )
"Rapides Parish, LA",11.2 ( 2.5 - 19.8 )
"Mobile County, AL",11.1 ( 5.5 - 16.7 )
"Kern County, CA",11.1 ( 7.2 - 15 )
"Monterey County, CA",11.1 ( 8.3 - 13.9 )
"Providence County, RI",11.1 ( 4.1 - 18.1 )
"Wicomico County, MD",11 ( -9.7 - 31.8 )
"Pasco County, FL",11 ( 4.1 - 17.9 )
"Dorchester County, SC",11 ( -0.4 - 22.4 )
"Henderson County, NC",10.9 ( -0.7 - 22.5 )
"Westchester County, NY",10.9 ( 4.1 - 17.6 )
"Mercer County, NJ",10.8 ( -4.5 - 26.1 )
"Anchorage Borough, AK",10.8 ( 1.4 - 20.3 )
"Jefferson County, TX",10.8 ( 7.2 - 14.4 )
"Lancaster County, PA",10.7 ( -6.8 - 28.1 )
"Jefferson County, CO",10.6 ( 8.7 - 12.5 )
"Richland County, SC",10.6 ( -0.1 - 21.3 )
"Clay County, MO",10.6 ( 4.5 - 16.7 )
"Newport News city, VA",10.6 ( 1.7 - 19.4 )
"Duval County, FL",10.5 ( -12.2 - 33.3 )
"Norfolk city, VA",10.5 ( -1.9 - 22.9 )
"Butler County, OH",10.5 ( -16.8 - 37.8 )
"Hamilton County, TN",10.3 ( -0.8 - 21.5 )
"St. Johns County, FL",10.2 ( 3.3 - 17.2 )
"Kankakee County, IL",10.2 ( -8.6 - 29 )
"Sandoval County, NM",10.2 ( 0.2 - 20.2 )
"Gaston County, NC",10.2 ( -0.8 - 21.2 )
"Citrus County, FL",10.2 ( -12.9 - 33.3 )
"Trumbull County, OH",10.1 ( -18.6 - 38.8 )
"Greene County, OH",10.1 ( -5.6 - 25.8 )
"Butte County, CA",10.1 ( -7.8 - 27.9 )
"Daviess County, KY",10 ( 0.9 - 19 )
"Prince William County, VA",10 ( 5.5 - 14.4 )
"Pickens County, SC",9.9 ( 2.4 - 17.4 )
"Boone County, KY",9.9 ( 0.2 - 19.5 )
"Luzerne County, PA",9.8 ( -0.9 - 20.5 )
"Sonoma County, CA",9.7 ( -2.6 - 21.9 )
"Grays Harbor County, WA",9.7 ( -0.5 - 19.8 )
"Webb County, TX",9.5 ( 3.9 - 15.2 )
"Lexington County, SC",9.5 ( 4.6 - 14.5 )
"Osceola County, FL",9.5 ( 2.3 - 16.7 )
"Lake County, FL",9.5 ( -3.1 - 22.1 )
"Chatham County, GA",9.5 ( 6.4 - 12.6 )
"Marion County, OR",9.5 ( 1.2 - 17.7 )
"San Diego County, CA",9.4 ( 7.8 - 10.9 )
"Wyandotte County, KS",9.4 ( 1.9 - 16.8 )
"Bronx County, NY",9.3 ( 2 - 16.6 )
"Valencia County, NM",9.2 ( -10 - 28.4 )
"Hays County, TX",9.1 ( 1.5 - 16.8 )
"Ramsey County, MN",9.1 ( 2.8 - 15.4 )
"Hamilton County, OH",9 ( -5.3 - 23.3 )
"Martin County, FL",8.9 ( -5.2 - 23.1 )
"Milwaukee County, WI",8.9 ( 4.6 - 13.1 )
"El Paso County, CO",8.9 ( 5.2 - 12.5 )
"Clark County, OH",8.8 ( -28.6 - 46.3 )
"Berkshire County, MA",8.8 ( 4.2 - 13.5 )
"Bernalillo County, NM",8.7 ( -2.4 - 19.8 )
"Pinal County, AZ",8.7 ( 2.1 - 15.3 )
"Hennepin County, MN",8.7 ( 3.6 - 13.7 )
"Washington County, PA",8.6 ( -21.3 - 38.5 )
"Passaic County, NJ",8.6 ( 0.3 - 16.9 )
"York County, SC",8.5 ( 4.7 - 12.3 )
"Van Buren County, MI",8.5 ( -4.1 - 21 )
"Stanislaus County, CA",8.4 ( 1.4 - 15.5 )
"Benton County, WA",8.3 ( 1.5 - 15 )
"Galveston County, TX",8.3 ( 3.3 - 13.3 )
"Tooele County, UT",8.3 ( -7 - 23.5 )
"Iredell County, NC",8 ( -2.6 - 18.6 )
"Riverside County, CA",8 ( 5.9 - 10.2 )
"Androscoggin County, ME",8 ( -3 - 18.9 )
"Clay County, FL",8 ( -5.7 - 21.7 )
"Jefferson County, AL",8 ( -2.3 - 18.3 )
"Polk County, FL",8 ( 2.1 - 13.8 )
"Whitfield County, GA",8 ( 0 - 16 )
"Wake County, NC",7.9 ( 4 - 11.7 )
"Greenville County, SC",7.9 ( -1.6 - 17.4 )
"San Juan County, NM",7.9 ( -4.4 - 20.1 )
"Chautauqua County, NY",7.8 ( -5.9 - 21.5 )
"Sebastian County, AR",7.8 ( -2.7 - 18.3 )
"Cumberland County, NJ",7.8 ( -18.3 - 33.9 )
"Cook County, IL",7.8 ( 0.6 - 15 )
"Elkhart County, IN",7.7 ( 0.2 - 15.3 )
"Johnston County, NC",7.6 ( 1.7 - 13.6 )
"Clayton County, GA",7.6 ( 3.2 - 12.1 )
"Cowlitz County, WA",7.6 ( 0.9 - 14.2 )
"Crawford County, PA",7.5 ( -17.6 - 32.7 )
"Douglas County, NE",7.5 ( 4.1 - 10.9 )
"Bibb County, GA",7.5 ( 2 - 13 )
"Charles County, MD",7.5 ( -6 - 20.9 )
"Ashtabula County, OH",7.4 ( -14 - 28.8 )
"District of Columbia, DC",7.4 ( -15.4 - 30.2 )
"Monroe County, NY",7.4 ( -1.7 - 16.5 )
"Orange County, CA",7.4 ( 5.8 - 9 )
"Caddo Parish, LA",7.3 ( -1.6 - 16.3 )
"Bannock County, ID",7.3 ( -0.9 - 15.5 )
"Union County, NJ",7.3 ( 0.5 - 14.1 )
"Douglas County, CO",7.2 ( 4 - 10.4 )
"Albany County, NY",7.2 ( 2.6 - 11.8 )
"St. Clair County, IL",7.2 ( -5.2 - 19.6 )
"Shasta County, CA",7.1 ( -2.6 - 16.9 )
"Berrien County, MI",7.1 ( -0.2 - 14.4 )
"Washoe County, NV",7.1 ( -1.8 - 15.9 )
"Chittenden County, VT",7 ( -4.8 - 18.8 )
"St. Clair County, AL",7 ( -17.7 - 31.6 )
"Linn County, IA",6.9 ( -0.6 - 14.5 )
"Hernando County, FL",6.9 ( -9.1 - 22.9 )
"Cherokee County, GA",6.9 ( -2.2 - 15.9 )
"Alachua County, FL",6.8 ( 3.6 - 10.1 )
"Kent County, RI",6.7 ( -9.7 - 23.2 )
"Matanuska-Susitna Borough, AK",6.7 ( -2.5 - 16 )
"Broward County, FL",6.7 ( -7.7 - 21 )
"Monmouth County, NJ",6.7 ( -4.6 - 18 )
"Vanderburgh County, IN",6.7 ( -7.9 - 21.2 )
"Douglas County, OR",6.7 ( -0.1 - 13.4 )
"Linn County, OR",6.6 ( -3.1 - 16.3 )
"Dakota County, MN",6.5 ( 2.4 - 10.6 )
"Ventura County, CA",6.5 ( 1.2 - 11.7 )
"Somerset County, PA",6.4 ( -20.4 - 33.3 )
"Cumberland County, ME",6.4 ( -4.8 - 17.7 )
"Maricopa County, AZ",6.2 ( 3.4 - 9.1 )
"Lorain County, OH",6.2 ( -18.3 - 30.8 )
"Montgomery County, TX",6.2 ( 1.3 - 11.1 )
"Okaloosa County, FL",6.1 ( -5.4 - 17.7 )
"Pima County, AZ",6.1 ( 1.5 - 10.8 )
"Tuscaloosa County, AL",6.1 ( 1.4 - 10.8 )
"Cobb County, GA",6 ( 0.7 - 11.3 )
"Pulaski County, AR",6 ( -1.1 - 13.2 )
"Fulton County, GA",6 ( 3.2 - 8.8 )
"Harris County, TX",5.9 ( 3.8 - 8.1 )
"Montgomery County, OH",5.9 ( -41.8 - 53.6 )
"Washington County, MD",5.9 ( -10.2 - 22 )
"Oakland County, MI",5.9 ( 1.5 - 10.3 )
"St. Tammany Parish, LA",5.9 ( -3.6 - 15.4 )
"Lane County, OR",5.9 ( 1.8 - 10 )
"Washington County, WI",5.8 ( -0.3 - 12 )
"Kootenai County, ID",5.8 ( 0.4 - 11.3 )
"Onslow County, NC",5.8 ( -4.2 - 15.9 )
"Franklin County, PA",5.8 ( -5.9 - 17.5 )
"Jefferson County, OH",5.8 ( -22.1 - 33.7 )
"Snohomish County, WA",5.8 ( -2.5 - 14 )
